,ItinID,MktID,MktCoupons,Quarter,Origin,OriginWac,Dest,DestWac,Miles,ContiguousUSA,NumTicketsOrdered,AirlineCompany,PricePerTicket
646239,2.01811E+11,2.01811E+13,1,1,LGA,22,BOS,13,184,2,1,B6,84.81
912436,2.01814E+11,2.01814E+13,1,1,FLL,33,MDW,41,1167,2,1,WN,110.5
538906,2.01811E+11,2.01811E+13,1,1,JFK,22,ATL,34,760,2,1,B6,103.5
858888,2.01814E+11,2.01814E+13,1,1,DAL,74,TPA,33,917,2,1,WN,382.5
535062,2.01811E+11,2.01811E+13,1,1,SNA,91,SEA,93,978,2,1,AS,547
450272,2.01811E+11,2.01811E+13,1,1,LAS,85,PDX,92,763,2,1,AS,61
653456,2.01811E+11,2.01811E+13,1,1,PDX,92,LGB,91,846,2,4,B6,159.5
266260,2.01814E+11,2.01814E+13,1,1,IAD,38,MCO,33,758,2,1,UA,698.5
897791,2.01814E+11,2.01814E+13,1,1,LGA,22,DTW,43,502,2,1,WN,97
443754,2.01811E+11,2.01811E+13,1,1,EWR,21,SJC,91,2548,2,1,AS,145
661001,2.01811E+11,2.01811E+13,1,1,MCO,33,LGA,22,950,2,1,B6,190
158276,2.01812E+11,2.01812E+13,1,1,MCO,33,JFK,22,944,2,1,DL,74.5
324748,2.01814E+11,2.01814E+13,1,1,DEN,82,PIT,23,1290,2,1,UA,227
485715,2.01811E+11,2.01811E+13,1,1,SEA,93,SBA,91,908,2,1,AS,152
723505,2.01812E+11,2.01812E+13,1,1,SLC,87,LAX,91,590,2,1,DL,401
177097,2.01812E+11,2.01812E+13,1,1,BWI,35,MSP,63,936,2,4,DL,97
413819,20181722795,2.01817E+12,1,1,ORD,41,SFO,91,1846,2,2,AA,290
709769,2.01812E+11,2.01812E+13,1,1,SFO,91,SLC,87,599,2,1,DL,455
523800,2.01811E+11,2.01811E+13,1,1,STL,64,SEA,93,1709,2,3,AS,186
361870,20181611963,2.01816E+12,1,1,MIA,33,DCA,38,919,2,11,AA,143
156840,2.01812E+11,2.01812E+13,1,1,BOS,13,MCO,33,1121,2,2,DL,263
534819,2.01811E+11,2.01811E+13,1,1,SNA,91,PDX,92,859,2,1,AS,404
227023,2.01814E+11,2.01814E+13,1,1,MCO,33,IAH,74,854,2,1,UA,358
3220,20181773497,2.01818E+12,1,1,MIA,33,PHL,23,1013,2,1,AA,148
429124,20181761805,2.01818E+12,1,1,PHL,23,DFW,74,1303,2,4,AA,156.5
705851,2.01812E+11,2.01812E+13,1,1,ATL,34,SFO,91,2139,2,1,DL,239.5
469196,2.01811E+11,2.01811E+13,1,1,SAN,91,PDX,92,933,2,1,AS,89.76
22287,20181800171,2.01818E+12,1,1,PHX,81,IAH,74,1009,2,1,AA,155
73767,20181980752,2.0182E+12,1,1,DFW,74,TPA,33,929,2,1,AA,289.43
267604,2.01814E+11,2.01814E+13,1,1,MCO,33,ORD,41,1005,2,1,UA,306
570242,2.01811E+11,2.01811E+13,1,1,SEA,93,BOS,13,2496,2,1,B6,346
836693,2.01814E+11,2.01814E+13,1,1,CMH,44,TPA,33,829,2,1,WN,273.5
24491,20181802929,2.01818E+12,1,1,PHX,81,LAX,91,370,2,2,AA,68
492167,2.01811E+11,2.01811E+13,1,1,SEA,93,DCA,38,2329,2,1,AS,367.5
50056,20181881464,2.01819E+12,1,1,ORD,41,SAN,91,1723,2,2,AA,233.5
774559,2.01814E+11,2.01814E+13,1,1,MSP,63,BNA,54,695,2,1,WN,191.5
877808,2.01814E+11,2.01814E+13,1,1,LAX,91,DEN,82,862,2,1,WN,315
899782,2.01814E+11,2.01814E+13,1,1,ELP,74,AUS,74,528,2,2,WN,70.72
482933,2.01811E+11,2.01811E+13,1,1,SAN,91,OGG,2,2541,1,1,AS,235
612791,2.01811E+11,2.01811E+13,1,1,RSW,33,HPN,22,1102,2,1,B6,520
419094,20181728411,2.01817E+12,1,1,ORF,38,CLT,36,290,2,1,AA,231.72
731765,2.01812E+11,2.01812E+13,1,1,SLC,87,SEA,93,689,2,2,DL,254.5
1031705,20181325923,2.01813E+12,1,1,ONT,91,DFW,74,1188,2,2,AA,294
86161,2.01812E+11,2.01812E+13,1,1,JFK,22,DEN,82,1626,2,6,DL,198.5
632149,2.01811E+11,2.01811E+13,1,1,PBI,33,LGA,22,1035,2,1,B6,414.4
366358,20181621123,2.01816E+12,1,1,MIA,33,JFK,22,1089,2,2,AA,257
965537,2.01814E+11,2.01814E+13,1,1,RNO,85,LAS,85,345,2,2,WN,150
378242,20181643416,2.01816E+12,1,1,MKE,45,DFW,74,853,2,1,AA,133
879772,2.01814E+11,2.01814E+13,1,1,MCO,33,DEN,82,1546,2,16,WN,287.5
429348,20181761926,2.01818E+12,1,1,PHL,23,DFW,74,1303,2,18,AA,249.5
503586,2.01811E+11,2.01811E+13,1,1,LAX,91,SEA,93,954,2,1,AS,146.5
918217,2.01814E+11,2.01814E+13,1,1,GRR,43,BWI,35,528,2,1,WN,132.21
177046,2.01812E+11,2.01812E+13,1,1,MSP,63,BWI,35,936,2,2,DL,135.43
126165,2.01812E+11,2.01812E+13,1,1,LAX,91,MSP,63,1535,2,4,DL,405
119099,2.01812E+11,2.01812E+13,1,1,DTW,43,LAX,91,1979,2,2,DL,397
923885,2.01814E+11,2.01814E+13,1,1,BOS,13,HOU,74,1609,2,2,WN,68.58
213888,2.01812E+11,2.01812E+13,1,1,MSY,72,SLC,87,1428,2,1,DL,325
263918,2.01814E+11,2.01814E+13,1,1,DEN,82,MCO,33,1546,2,5,UA,108
359153,20181603403,2.01816E+12,1,1,MIA,33,ATL,34,594,2,1,AA,332
169459,2.01812E+11,2.01812E+13,1,1,MKE,45,ATL,34,669,2,2,DL,238.5
754634,2.01813E+11,2.01813E+13,1,1,PHX,81,MSP,63,1276,2,2,SY,238.5
476006,2.01811E+11,2.01811E+13,1,1,SJC,91,PDX,92,569,2,1,AS,187.5
681562,2.01812E+11,2.01812E+13,1,1,RDU,36,SEA,93,2354,2,1,DL,228
994619,20181275290,2.01813E+12,1,1,DCA,38,PHX,81,1979,2,1,AA,333
333069,20181510231,2.01815E+12,1,1,LIH,2,LAX,91,2615,1,1,AA,299.5
720640,2.01812E+11,2.01812E+13,1,1,JFK,22,SLC,87,1990,2,2,DL,110
660493,2.01811E+11,2.01811E+13,1,1,LAX,91,MCO,33,2218,2,1,B6,105.5
9469,20181783520,2.01818E+12,1,1,PHL,23,RDU,36,337,2,1,AA,251.5
260302,2.01814E+11,2.01814E+13,1,1,IAH,74,LGA,22,1416,2,1,UA,214
519777,2.01811E+11,2.01811E+13,1,1,SJC,91,SEA,93,696,2,1,AS,147
986873,20181260805,2.01813E+12,1,1,PHX,81,BWI,35,1999,2,1,AA,366.86
578618,2.01811E+11,2.01811E+13,1,1,BUR,91,JFK,22,2465,2,2,B6,226
684961,2.01812E+11,2.01812E+13,1,1,ATL,34,RSW,33,515,2,2,DL,181.5
843142,2.01814E+11,2.01814E+13,1,1,DEN,82,DAL,74,651,2,3,WN,145.5
29970,20181808823,2.01818E+12,1,1,PHX,81,ORD,41,1440,2,1,AA,347
152328,2.01812E+11,2.01812E+13,1,1,ATL,34,AUS,74,813,2,1,DL,156.93
582685,2.01811E+11,2.01811E+13,1,1,FLL,33,CLE,44,1062,2,1,B6,233.5
1028441,20181323122,2.01813E+12,1,1,DFW,74,MSP,63,852,2,17,AA,152
905460,2.01814E+11,2.01814E+13,1,1,EWR,21,PHX,81,2133,2,2,WN,293
119174,2.01812E+11,2.01812E+13,1,1,LAX,91,DTW,43,1979,2,1,DL,444
115212,2.01812E+11,2.01812E+13,1,1,LAX,91,BNA,54,1797,2,1,DL,208
730477,2.01812E+11,2.01812E+13,1,1,SLC,87,SAN,91,626,2,3,DL,133
615473,2.01811E+11,2.01811E+13,1,1,JAX,33,JFK,22,828,2,1,B6,241.5
319471,2.01814E+11,2.01814E+13,1,1,PHL,23,DEN,82,1558,2,1,UA,171.06
613835,2.01811E+11,2.01811E+13,1,1,JFK,22,IAD,38,228,2,1,B6,116
482009,2.01811E+11,2.01811E+13,1,1,KOA,2,SAN,91,2556,1,1,AS,396
873677,2.01814E+11,2.01814E+13,1,1,GEG,93,DEN,82,836,2,1,WN,179.5
653943,2.01811E+11,2.01811E+13,1,1,LGB,91,SEA,93,965,2,6,B6,68
474208,2.01811E+11,2.01811E+13,1,1,SAN,91,PDX,92,933,2,1,AS,231.5
278316,2.01814E+11,2.01814E+13,1,1,AUS,74,ORD,41,977,2,4,UA,206
847851,2.01814E+11,2.01814E+13,1,1,DAL,74,LAX,91,1246,2,1,WN,292
325178,2.01814E+11,2.01814E+13,1,1,ORD,41,PIT,23,413,2,1,UA,219
388453,20181686882,2.01817E+12,1,1,AUS,74,ORD,41,977,2,3,AA,298
285936,2.01814E+11,2.01814E+13,1,1,ORD,41,EGE,82,1007,2,1,UA,304.5
237498,2.01814E+11,2.01814E+13,1,1,SLC,87,IAH,74,1195,2,1,UA,269
532070,2.01811E+11,2.01811E+13,1,1,SLC,87,PDX,92,630,2,1,AS,137
429107,20181761796,2.01818E+12,1,1,DFW,74,PHL,23,1303,2,1,AA,148.5
1030910,20181325413,2.01813E+12,1,1,OMA,65,DFW,74,583,2,2,AA,137
818007,2.01814E+11,2.01814E+13,1,1,SAN,91,BWI,35,2295,2,19,WN,250.5
924098,2.01814E+11,2.01814E+13,1,1,HOU,74,DAL,74,239,2,1,WN,151
720286,2.01812E+11,2.01812E+13,1,1,SLC,87,JFK,22,1990,2,1,DL,69
1045338,20181340128,2.01813E+12,1,1,DFW,74,SJC,91,1438,2,1,AA,434.3
479164,2.01811E+11,2.01811E+13,1,1,ANC,1,PSG,1,678,1,1,AS,259
